index,0,1,Digit,Epoch,Acc
0,30.075659,-110.42748,7,30,0.989000022
1,-58.68404399999999,125.90086000000001,2,30,0.989000022
2,70.84812,-64.99404,1,30,0.989000022
3,-36.5223,-95.72784399999999,0,30,0.989000022
4,57.377026,122.46202,4,30,0.989000022
5,86.83668,-87.71732,1,30,0.989000022
6,23.922356,70.9184,4,30,0.989000022
7,87.11063399999999,47.8042,9,30,0.989000022
8,-126.1386,13.358391000000001,5,30,0.989000022
9,97.20776,62.665375,9,30,0.989000022
10,-63.45373000000001,-159.82805,0,30,0.989000022
11,-118.67952,82.187035,6,30,0.989000022
12,84.51704000000001,60.63760799999999,9,30,0.989000022
13,-72.33158,-174.48587,0,30,0.989000022
14,92.94448,-79.01397,1,30,0.989000022
15,-214.5263,-21.265415,5,30,0.989000022
16,81.90142,53.487186,9,30,0.989000022
17,37.341429999999995,-125.15831999999999,7,30,0.989000022
18,-50.7866,-33.22892,3,30,0.989000022
19,21.157694,108.400085,4,30,0.989000022
20,42.239309999999996,27.810812,9,30,0.989000022
21,-189.5013,74.85951999999999,6,30,0.989000022
22,-119.93693,59.231773,6,30,0.989000022
23,-182.19724,-10.702525999999999,5,30,0.989000022
24,32.950356,106.273026,4,30,0.989000022
25,-44.758247,-120.14757,0,30,0.989000022
26,17.212612,-92.98485,7,30,0.989000022
27,56.976135,184.25206,4,30,0.989000022
28,-60.79244,-142.24385,0,30,0.989000022
29,75.628716,-72.24154,1,30,0.989000022
30,-218.4592,-99.69566,3,30,0.989000022
31,63.468174,-61.203255000000006,1,30,0.989000022
32,-200.71878,-89.27235999999999,3,30,0.989000022
33,13.136648999999998,81.851555,4,30,0.989000022
34,31.656096,-123.14411000000001,7,30,0.989000022
35,-41.640503,102.20658,2,30,0.989000022
36,11.35258,-49.619102000000005,7,30,0.989000022
37,84.19018,-78.50788,1,30,0.989000022
38,-24.527379999999997,60.43314,2,30,0.989000022
39,80.14033,-74.12895999999999,1,30,0.989000022
40,58.575615,-51.67375,1,30,0.989000022
41,9.478773,-34.517296,7,30,0.989000022
42,51.352333,153.39536999999999,4,30,0.989000022
43,-20.974596,90.14195,2,30,0.989000022
44,-156.9736,-73.3263,3,30,0.989000022
45,-161.00082,-3.3407145,5,30,0.989000022
46,68.18874,-61.820190000000004,1,30,0.989000022
47,-61.294833999999994,152.99598999999998,2,30,0.989000022
48,38.38167,92.30324,4,30,0.989000022
49,68.45229,161.37593,4,30,0.989000022
50,-131.2759,69.28631999999999,6,30,0.989000022
51,-203.90598,-87.02150999999999,3,30,0.989000022
52,-192.40861999999998,-11.366985000000001,5,30,0.989000022
53,-138.3344,-8.577199,5,30,0.989000022
54,-180.83246,106.31831000000001,6,30,0.989000022
55,-52.906677,-120.73276000000001,0,30,0.989000022
56,49.753235,174.85257,4,30,0.989000022
57,68.92745,-66.60374499999999,1,30,0.989000022
58,108.731026,75.8048,9,30,0.989000022
59,-119.793846,-12.031936,5,30,0.989000022
60,37.1263,-113.39511,7,30,0.989000022
61,102.77721,-17.13889,8,30,0.989000022
62,26.12311,10.594241,9,30,0.989000022
63,-56.09754,-29.716441999999997,3,30,0.989000022
64,29.869120000000002,-123.5794,7,30,0.989000022
65,17.62859,73.04299,4,30,0.989000022
66,-95.187485,56.6912,6,30,0.989000022
67,43.782402000000005,111.60927,4,30,0.989000022
68,-222.08368,-101.69828000000001,3,30,0.989000022
69,-54.675766,-146.72101999999998,0,30,0.989000022
70,35.679264,-106.81295,7,30,0.989000022
71,-83.634056,-215.25992999999997,0,30,0.989000022
72,-31.134325,94.54543000000001,2,30,0.989000022
73,71.59402,40.331590000000006,9,30,0.989000022
74,75.97468,-65.30105,1,30,0.989000022
75,21.913023000000003,-119.72611,7,30,0.989000022
76,-164.19087,-79.1227,3,30,0.989000022
77,-28.658222,59.127697,2,30,0.989000022
78,65.67267,39.698153999999995,9,30,0.989000022
79,8.894238,-67.59055,7,30,0.989000022
80,8.119703999999999,-77.789085,7,30,0.989000022
81,-110.84998999999999,63.288803,6,30,0.989000022
82,-62.868790000000004,163.6504,2,30,0.989000022
83,21.76276,-117.713326,7,30,0.989000022
84,134.36539,-22.722126,8,30,0.989000022
85,25.5595,101.35212,4,30,0.989000022
86,13.433326999999998,-78.701256,7,30,0.989000022
87,-94.08646,-61.621452000000005,3,30,0.989000022
88,-194.24652,101.94261,6,30,0.989000022
89,61.29753,-57.872443999999994,1,30,0.989000022
90,-163.35765,-80.52421,3,30,0.989000022
91,-180.9184,91.82908,6,30,0.989000022
92,38.1062,33.55725,9,30,0.989000022
93,-129.86864,-60.796074,3,30,0.989000022
94,70.55400999999999,-62.63163,1,30,0.989000022
95,20.598734,52.21765,4,30,0.989000022
96,44.22857,-41.1431,1,30,0.989000022
97,17.024632999999998,-77.63363000000001,7,30,0.989000022
98,-88.768364,49.485504,6,30,0.989000022
99,111.23611499999998,65.382965,9,30,0.989000022
100,-128.41653,76.03444,6,30,0.989000022
101,-74.502144,-181.12672,0,30,0.989000022
102,-266.86926,-22.2985,5,30,0.989000022
103,38.047287,193.53163,4,30,0.989000022
104,72.39485,36.160282,9,30,0.989000022
105,93.46115999999999,56.063790000000004,9,30,0.989000022
